DATA;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;Brasil;Centro-Oeste;Nordeste;Norte;Sudeste;Sul
201211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;4.0;1.0
201212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;7.0;0.0;0.0;0.0;6.0;1.0
201301;0.0;1278.0;53.0;0.0;1199.0;1338.0;0.0;62.0;509.0;551.0;3029.0;471.0;685.0;1259.0;698.0;1049.0;172.0;3086;757.0;271.0;192.0;1.0;1312.0;1358.0;123.0;7707.0;237.0;27397.0;1672.0;6672.0;1742.0;11555.0;5756.0
201302;0.0;957.0;109.0;0.0;1336.0;844.0;11.0;59.0;777.0;570.0;2250.0;878.0;1035.0;1347.0;870.0;767.0;243.0;4215;639.0;231.0;175.0;3.0;953.0;1298.0;111.0;7827.0;163.0;27668.0;2694.0;5936.0;1797.0;10775.0;6466.0
201303;0.0;1101.0;230.0;0.0;1794.0;1484.0;10.0;59.0;1161.0;544.0;2951.0;1061.0;1111.0;1873.0;1023.0;1032.0;294.0;3595;757.0;260.0;160.0;18.0;1414.0;1365.0;82.0;10149.0;128.0;33656.0;3343.0;7614.0;2409.0;13916.0;6374.0
201304;0.0;1924.0;202.0;0.0;2006.0;2087.0;0.0;162.0;1297.0;909.0;3070.0;913.0;1386.0;2924.0;1146.0;986.0;382.0;4138;672.0;275.0;344.0;34.0;1408.0;1946.0;121.0;11579.0;215.0;40126.0;3596.0;9836.0;3719.0;15483.0;7492.0
201305;0.0;1515.0;188.0;0.0;1672.0;1724.0;17.0;136.0;1124.0;1015.0;3435.0;1033.0;1082.0;2484.0;1074.0;1060.0;296.0;4589;822.0;317.0;228.0;0.0;1494.0;2105.0;164.0;10193.0;208.0;37975.0;3256.0;8837.0;3108.0;14586.0;8188.0
201306;1.0;1364.0;210.0;0.0;1808.0;1635.0;5.0;211.0;1660.0;782.0;2946.0;748.0;1249.0;2606.0;1340.0;982.0;463.0;5009;1013.0;392.0;418.0;3.0;1631.0;1944.0;193.0;10966.0;206.0;39785.0;3662.0;8959.0;3443.0;15136.0;8585.0
201307;1.0;1729.0;222.0;0.0;1825.0;1548.0;30.0;183.0;1548.0;978.0;3673.0;872.0;1352.0;2440.0;1712.0;1231.0;641.0;5068;788.0;427.0;501.0;1.0;1674.0;2509.0;207.0;11343.0;188.0;42691.0;3802.0;10298.0;3352.0;15987.0;9252.0
201308;3.0;1512.0;128.0;0.0;2262.0;1738.0;14.0;171.0;1377.0;955.0;3773.0;1035.0;1395.0;2785.0;1670.0;1276.0;589.0;4671;782.0;357.0;509.0;23.0;1830.0;2270.0;382.0;12853.0;232.0;44592.0;3821.0;10741.0;3677.0;17582.0;8771.0
201309;17.0;1869.0;185.0;0.0;2421.0;1835.0;38.0;217.0;1692.0;804.0;3631.0;1162.0;1262.0;2646.0;2087.0;1277.0;554.0;5087;830.0;344.0;421.0;23.0;1491.0;2551.0;326.0;13053.0;241.0;46064.0;4154.0;11517.0;3531.0;17733.0;9129.0
201310;12.0;2224.0;136.0;0.0;2692.0;2173.0;10.0;193.0;1669.0;997.0;3774.0;965.0;1418.0;2372.0;2602.0;1249.0;504.0;6118;1160.0;315.0;521.0;12.0;2257.0;2930.0;289.0;13934.0;251.0;50777.0;4016.0;13093.0;3303.0;19087.0;11278.0
